KODS,TIPS_CD,STATUSS,APSTIPR,APST_PAK,VKUR_CD,VKUR_TIPS,NOSAUKUMS,SORT_NOS,ATRIB,PNOD_CD,DAT_SAK,DAT_MOD,DAT_BEIG,FOR_BUILD,PLAN_ADR,STD,KOORD_X,KOORD_Y,DD_N,DD_E
101704131,108,EKS,Y,254.0,100322262,107,1,0001,LV-2010,100031112.0,2001.01.25,2003.01.10,,N,N,"10. līnija 1, Jūrmala, LV-2010",315886.937,491543.129,56.986457,23.860838
101704156,108,EKS,Y,254.0,100322295,107,7,0007,LV-2010,100031112.0,2001.01.25,2003.01.10,,N,N,"13. līnija 7, Jūrmala, LV-2010",315915.845,491929.35,56.986723,23.867192
101704172,108,EKS,Y,252.0,100322342,107,1,0001,LV-2010,100031112.0,2001.01.25,2011.03.08,,N,N,"18. līnija 1, Jūrmala, LV-2010",316358.038,492561.824,56.990706,23.877587
101704180,108,EKS,Y,254.0,100322342,107,3A,0003A,LV-2010,100031112.0,2001.01.25,2003.01.10,,N,N,"18. līnija 3A, Jūrmala, LV-2010",316298.144,492567.47,56.990168,23.877682
101704197,108,EKS,Y,252.0,100322350,107,2,0002,LV-2010,100031112.0,2001.01.25,2011.03.08,,N,N,"19. līnija 2, Jūrmala, LV-2010",316351.563,492606.675,56.990649,23.878325
101704203,108,EKS,Y,254.0,100322367,107,1,0001,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 1, Jūrmala, LV-2011",311563.029,476263.8,56.947081,23.609819
101704211,108,EKS,Y,254.0,100322367,107,14,0014,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 14, Jūrmala, LV-2011",311489.52,476116.073,56.946413,23.607398
101704228,108,EKS,Y,254.0,100322367,107,15,0015,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 15, Jūrmala, LV-2011",311480.946,476150.735,56.946338,23.607969
101704236,108,EKS,Y,254.0,100322367,107,18,0018,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 18, Jūrmala, LV-2011",311460.645,476082.544,56.946152,23.60685
101704244,108,EKS,Y,254.0,100322367,107,19,0019,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 19, Jūrmala, LV-2011",311454.089,476118.846,56.946095,23.607447
101704252,108,EKS,Y,254.0,100322367,107,2,0002,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 2, Jūrmala, LV-2011",311578.412,476204.81,56.947216,23.608848
101704260,108,EKS,Y,254.0,100322367,107,21,0021,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 21, Jūrmala, LV-2011",311438.328,476100.695,56.945953,23.60715
101704277,108,EKS,Y,254.0,100322367,107,25,0025,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 25, Jūrmala, LV-2011",311408.95,476073.343,56.945687,23.606703
101704285,108,EKS,Y,254.0,100322367,107,29,0029,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 29, Jūrmala, LV-2011",311385.875,476041.706,56.945478,23.606185
101704293,108,EKS,Y,254.0,100322367,107,30,0030,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 30, Jūrmala, LV-2011",311381.462,475992.296,56.945436,23.605374
101704308,108,EKS,Y,254.0,100322367,107,33,0033,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 33, Jūrmala, LV-2011",311359.609,476009.745,56.945241,23.605663
101704316,108,EKS,Y,254.0,100322367,107,34,0034,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 34, Jūrmala, LV-2011",311354.732,475961.918,56.945195,23.604877
101704324,108,EKS,Y,254.0,100322367,107,5,0005,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 5, Jūrmala, LV-2011",311545.629,476224.978,56.946923,23.609183
101704332,108,EKS,Y,254.0,100322367,107,6,0006,LV-2011,100037734.0,2001.01.25,2003.01.10,,N,N,"1905. gada iela 6, Jūrmala, LV-2011",311541.72,476175.315,56.946885,23.608367
